ID,provincia,departamento,localidad,nombre_barrio,otros_nombres_barrio,tipo_de_barrio,cantidad_de_familias,anio_creo_barrio,luz,excretas,agua,energia_calefaccion,energia_cocinar,emergencias_policia,emergencias_bomberos,emergencias_ambulancia,plantacion_forestal,ribera_rio,pendiente,basural,torres_de_alta_tension,linea_de_tren,camino_de_alto_trafico,desechos_industriales,actividad_agropecuaria,relleno_sanitario,inundaciones,jardin_de_infantes,escuela_primaria,escuela_secundaria,hospital,sala_medica,comisaria,parada_transporte_publico,plaza,centro_de_deportes,alcantarillado,asfalto,alumbrado,recoleccion_de_residuos,organizaciones_externas,mayores_problemas_barrio1,cosas_que_mas_le_gustan1,poligono,IDENTIFICAR,anio
TE_000001,"BUENOS AIRES",TIGRE,CHASICÓ,"el ahorcado",,VILLA,190,1975,"RED PÚBLICA CON MEDIDORES DOMICILIARIOS. (CADA FAMILIA CON SU FACTURA, CON SU PROPIO MEDIDOR)","DESAGÜE SÓLO A POZO NEGRO / CIEGO U HOYO, EXCAVACIÓN A TIERRA","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","LEÑA O CARBÓN","GAS EN GARRAFA","A VECES",SIEMPRE,"A VECES","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","El barrio se encuentra emplazado cerca de: Pendiente (respuesta única)","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","MÁS DE 50 CUADRAS(+5 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)",NO,NO,"SI, PROVISTOS POR EL ESTADO.","SI, DE MANERA FORMAL. (EL CAMIÓN INGRESA AL BARRIO)",NO,DROGA/ALCOHOL/TABACO,OTRO,"-58.59945100000001,-34.405688 -58.600438,-34.405033 -58.600824,-34.405175 -58.601103,-34.405635 -58.60148899999999,-34.405564 -58.602666,-34.404812 -58.60287,-34.406193 -58.600996,-34.407352 -58.59945100000001,-34.405688","CUMPLE CON LA DEFINICIÓN ",2016
TE_000008,NEUQUÉN,CONFLUENCIA,NEUQUÉN,"nueva esperanza","dentro de villa ceferino",ASENTAMIENTO,30,1990,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)","RED CLOACAL PÚBLICA CONECTADA AL PLUVIAL, AL DESAGÜE DE LLUVIA (CONEXIÓN ?FORMAL? PERO CONECTADA CON EL ALCANTARILLADO O DESAGÜE PLUVIAL).","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","GAS EN GARRAFA","GAS EN GARRAFA",SIEMPRE,SIEMPRE,SIEMPRE,"NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 31 Y 50 CUADRAS(3 Y 5 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)",NO,NO,NO,NO,SÍ,"FALTA DE ACCESO A LOS SERVICIOS","UNIÓN Y FAMILIARIDAD ENTRE VECINOS","-68.09599718832222,-38.94101958422372 -68.09567643840339,-38.94061805516469 -68.09559210601033,-38.94028271718911 -68.09573108467097,-38.94014825517861 -68.09574475050937,-38.94006355289163 -68.09583091547181,-38.94000137032867 -68.09603610108346,-38.93997041460821 -68.09636663621926,-38.9401722517744 -68.09661281624477,-38.94086082185884 -68.09599718832222,-38.94101958422372","CUMPLE CON LA DEFINICIÓN ",2016
TE_000009,NEUQUÉN,CONFLUENCIA,NEUQUÉN,"loteo social 1","toma norte",ASENTAMIENTO,30,2007,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)","DESAGÜE SÓLO A POZO NEGRO / CIEGO U HOYO, EXCAVACIÓN A TIERRA","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","ENERGÍA ELÉCTRICA ( CALENTADOR/ESTUFA ELÉCTRICO)","GAS EN GARRAFA",SIEMPRE,SIEMPRE,SIEMPRE,"NO SABE / NO RESPONDE","NO SABE / NO RESPONDE","NO SE ENCUENTRA CERCA DEL BARRIO","NO SABE / NO RESPONDE","A MENOS DE 10 MTS","NO SABE / NO RESPONDE","NO SABE / NO RESPONDE","NO SABE / NO RESPONDE","NO SABE / NO RESPONDE","NO SABE / NO RESPONDE","CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 31 Y 50 CUADRAS(3 Y 5 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","MÁS DE 50 CUADRAS(+5 KM)",NO,NO,NO,NO,NO,INSEGURIDAD/DELINCUENCIA,"UNIÓN Y FAMILIARIDAD ENTRE VECINOS","-68.11663400000001,-38.929042 -68.117119,-38.929735 -68.11664500000001,-38.92974 -68.11632,-38.929732 -68.11620499999999,-38.929705 -68.115838,-38.92962 -68.11557500000001,-38.929564 -68.11542300000001,-38.929536 -68.115287,-38.929505 -68.11524097424847,-38.92949859542411 -68.11522522393557,-38.92947048452322 -68.11518786460846,-38.92940058860515 -68.11556274582819,-38.92931370972458 -68.116514,-38.928945 -68.11663400000001,-38.929042","CUMPLE CON LA DEFINICIÓN ",2016
TE_000013,NEUQUÉN,CONFLUENCIA,NEUQUÉN,"toma alto godoy","no tiene",ASENTAMIENTO,70,1990,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)","DESAGÜE A CÁMARA SÉPTICA Y POZO CIEGO","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","LEÑA O CARBÓN","GAS EN GARRAFA","A VECES",SIEMPRE,"A VECES","A MENOS DE 50 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SABE / NO RESPONDE","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 10 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO",,"A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 31 Y 50 CUADRAS(3 Y 5 KM)",NO,NO,"SI, PROVISTOS POR EL ESTADO.","SI, DE MANERA FORMAL. (EL CAMIÓN INGRESA AL BARRIO)",NO,DROGA/ALCOHOL/TABACO,TRANQUILIDAD,"-68.11655008297473,-38.93412118363295 -68.11636164931292,-38.9340338623004 -68.1160777248646,-38.93387597085174 -68.11578421956213,-38.93365728564011 -68.11526628115662,-38.93339706870128 -68.11537354290866,-38.93323758347925 -68.11576154846081,-38.93297277686965 -68.11648506357527,-38.93275079945266 -68.11649582955474,-38.93300827005733 -68.11652368667006,-38.93322909981225 -68.1166931999214,-38.93346915952344 -68.1168940711306,-38.93380035857842 -68.11709665670065,-38.93410072022444 -68.11655008297473,-38.93412118363295","CUMPLE CON LA DEFINICIÓN ",2016
TE_000020,NEUQUÉN,CONFLUENCIA,NEUQUÉN,"Auka Mahuida",,ASENTAMIENTO,150,2004,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)","DESAGÜE A CÁMARA SÉPTICA Y POZO CIEGO","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","GAS EN GARRAFA","GAS EN GARRAFA",SIEMPRE,SIEMPRE,SIEMPRE,"NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 50 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 10 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SABE / NO RESPONDE",,"A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 31 Y 50 CUADRAS(3 Y 5 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)",NO,NO,NO,NO,NO,OTRO,"EL PROGRESO PERCIBIDO EN EL BARRIO","-68.07649248356904,-38.9414112252755 -68.07682978678129,-38.94145497780494 -68.077702,-38.941678 -68.078616,-38.942073 -68.07912012372817,-38.94238580723722 -68.0789604791441,-38.94253880980684 -68.07899390252754,-38.94284565387574 -68.07795655694922,-38.9433067782812 -68.07781103543911,-38.94328302544864 -68.07764940432219,-38.94335583153664 -68.076514957486,-38.94286563395257 -68.07638073698108,-38.94267483802506 -68.07631586271884,-38.94255432865304 -68.07581618912853,-38.94246654820953 -68.0759256430308,-38.94209379442004 -68.07649248356904,-38.9414112252755","CUMPLE CON LA DEFINICIÓN ",2016
TE_000026,CÓRDOBA,CAPITAL,"CÓRDOBA CAPITAL","los 40 y la costa",,ASENTAMIENTO,35,2008,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)","DESAGÜE SÓLO A POZO NEGRO / CIEGO U HOYO, EXCAVACIÓN A TIERRA","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","ENERGÍA ELÉCTRICA ( CALENTADOR/ESTUFA ELÉCTRICO)","GAS EN GARRAFA","A VECES",NUNCA,NUNCA,"NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 10 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","CADA VEZ QUE LLUEVE FUERTE (MUCHAS VECES POR AÑO)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","MÁS DE 50 CUADRAS(+5 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 31 Y 50 CUADRAS(3 Y 5 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)","NO SABE / NO RESPONDE",NO,NO,"SI, PROVISTOS POR EL ESTADO.",NO,SÍ,INSEGURIDAD/DELINCUENCIA,"UNIÓN Y FAMILIARIDAD ENTRE VECINOS","-64.24039718687438,-31.33093679959264 -64.240390267571,-31.33148008000281 -64.24039432470455,-31.33293832633284 -64.24040730300952,-31.33540184004272 -64.24139002599615,-31.33622074128158 -64.24142982419052,-31.33676827288473 -64.2408807783594,-31.33670895172121 -64.239943,-31.335357 -64.23984,-31.332728 -64.23984001689661,-31.33093377353646 -64.24039718687438,-31.33093679959264","CUMPLE CON LA DEFINICIÓN ",2016
TE_000036,CHACO,"SAN FERNANDO","PUERTO VILELAS","El Palmarcito lote 23","lote 23",ASENTAMIENTO,60,1980,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)",OTRO,"CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","NO TIENE","GAS EN GARRAFA",SIEMPRE,NUNCA,SIEMPRE,"NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 10 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO",,"A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","MÁS DE 50 CUADRAS(+5 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)",NO,NO,"SI, PROVISTOS POR EL ESTADO.",NO,SÍ,OTRO,TRANQUILIDAD,"-58.94780305772953,-27.51271217820662 -58.94833164316437,-27.51907290508995 -58.94747951436304,-27.51906085119892 -58.94678181368239,-27.51613764924342 -58.94509060545288,-27.51523301971398 -58.94680900000001,-27.51453 -58.94755932988215,-27.51276080562268 -58.94780305772953,-27.51271217820662","CUMPLE CON LA DEFINICIÓN ",2016
TE_000037,CHACO,"SAN FERNANDO",RESISTENCIA,".24 de diciembre","chacra 193",ASENTAMIENTO,90,1998,"RED PÚBLICA CON MEDIDOR COMUNITARIO / SOCIAL. (NO HAY FACTURAS INDIVIDUALES, NO HAY UN MEDIDOR POR FAMILIA, SINO UNO O VARIOS MEDIDORES PARA MUCHAS FAMILIAS).","DESAGÜE SÓLO A POZO NEGRO / CIEGO U HOYO, EXCAVACIÓN A TIERRA","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","ENERGÍA ELÉCTRICA ( CALENTADOR/ESTUFA ELÉCTRICO)","GAS EN GARRAFA",SIEMPRE,SIEMPRE,SIEMPRE,"NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 100 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO",,"NO SE ENCUENTRA CERCA DEL BARRIO","SOLAMENTE CUANDO DILUVIA (UNA O DOS VECES POR AÑO)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","DENTRO DEL BARRIO","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)",NO,NO,"SI, PROVISTOS POR EL ESTADO.","SI, DE MANERA FORMAL. (EL CAMIÓN INGRESA AL BARRIO)",SÍ,"FALTA DE ACCESO A LOS SERVICIOS","UNIÓN Y FAMILIARIDAD ENTRE VECINOS","-58.95948,-27.460714 -58.958824,-27.461281 -58.958166,-27.461706 -58.957419,-27.462073 -58.957023,-27.46218 -58.957274,-27.462677 -58.958201,-27.462649 -58.95859,-27.462637 -58.959005,-27.462678 -58.96121699999999,-27.460769 -58.960458,-27.460103 -58.96016,-27.459861 -58.95948,-27.460714","CUMPLE CON LA DEFINICIÓN ",2016
TE_000042,NEUQUÉN,CONFLUENCIA,NEUQUÉN,"sector monte sinaí","monte sinaí",ASENTAMIENTO,100,2001,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)","DESAGÜE SÓLO A POZO NEGRO / CIEGO U HOYO, EXCAVACIÓN A TIERRA","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","ENERGÍA ELÉCTRICA ( CALENTADOR/ESTUFA ELÉCTRICO)","GAS EN GARRAFA",SIEMPRE,SIEMPRE,SIEMPRE,"NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 100 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 10 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO",,"A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 31 Y 50 CUADRAS(3 Y 5 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)",NO,NO,NO,NO,NO,"FALTA DE ACCESO A LOS SERVICIOS",TRANQUILIDAD,"-68.09933580278371,-38.93549783462775 -68.09926046157318,-38.93527781413152 -68.09997199797607,-38.93526474974276 -68.100026,-38.936567 -68.1001,-38.936761 -68.100497,-38.936854 -68.1005195160259,-38.93763989150944 -68.09955768736187,-38.93768322427718 -68.09953065069981,-38.93746439345252 -68.09940350383475,-38.93744119748073 -68.09918188963783,-38.93737204749679 -68.09915551834787,-38.93722096378485 -68.09908432705093,-38.93689207286063 -68.09869400665964,-38.93606923467687 -68.09901448590597,-38.93591646784786 -68.09898875453686,-38.93574480874411 -68.09931943533464,-38.93561192680298 -68.09933580278371,-38.93549783462775","CUMPLE CON LA DEFINICIÓN ",2016
TE_000051,CHACO,"SAN FERNANDO",RESISTENCIA,"Sol de Esperanza","Sol y Esperanza",ASENTAMIENTO,200,2000,"CONEXIÓN IRREGULAR A LA RED PÚBLICA. (ENGANCHADOS A LA RED, CABLES A LOS POSTES DE LUZ DE LA CALLE, DE UNA FAMILIA A OTRA, ETC)","DESAGÜE SÓLO A POZO NEGRO / CIEGO U HOYO, EXCAVACIÓN A TIERRA","CONEXIÓN IRREGULAR A LA RED PÚBLICA (HECHA POR LOS VECINOS, SIN PAGAR FACTURA / CHAPITA DE AGUA, GENERALMENTE MEDIANTE MANGUERAS)","NO TIENE","GAS EN GARRAFA",SIEMPRE,SIEMPRE,SIEMPRE,"NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 50 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","A MENOS DE 100 MTS","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO","NO SE ENCUENTRA CERCA DEL BARRIO",,"ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","MÁS DE 50 CUADRAS(+5 KM)","ENTRE 11 Y 30 CUADRAS(1 Y 3 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","A MENOS DE 10 CUADRAS (1 KM)","ENTRE 31 Y 50 CUADRAS(3 Y 5 KM)",NO,NO,"SI, PROVISTOS POR EL ESTADO.",NO,NO,"FALTA DE ACCESO A LOS SERVICIOS",TRANQUILIDAD,"-58.990168,-27.426824 -58.988804,-27.426423 -58.988526,-27.425406 -58.987905,-27.425141 -58.99008512235082,-27.42250798148008 -58.990539,-27.422674 -58.989891,-27.424597 -58.990337,-27.424744 -58.99022,-27.42517 -58.990649,-27.425312 -58.990168,-27.426824","CUMPLE CON LA DEFINICIÓN ",2016
